Transaction_ID,Date,Customer_Name,Product,Total_Items,Total_Cost,Payment_Method,City,Store_Type,Discount_Applied,Customer_Category,Season,Promotion,Unit_Price,Cost_Per_Item,Profit,Customer_ID,Basket_Size,Product_Category,Category,Sub_Category,Hour,Day,Month
1000000016,2021-10-15 13:24:00,eric wall,"airfreshener,femininehygieneproducts",5,99.7,mobile payment,miami,specialty store,True,homemaker,spring,,19.94,9.795977097,50.72011451,710278,2,air freshener,home & misc,air freshener,13,friday,2021-10
1000000017,2021-09-16 09:28:00,vanessa peck,"powerstrips,honey,ketchup,tea,shampoo",8,15.62,credit card,san francisco,department store,False,senior citizen,fall,,1.9525,1.08837608,6.912991361,507535,5,power strips,household electronics,power strips,9,thursday,2021-09
1000000018,2022-07-18 11:33:00,dominique stout,"mustard,dustpan",3,98.28,mobile payment,new york,warehouse club,False,professional,fall,bogo (buy one get one),32.76,17.34915564,46.23253307,198378,2,mustard,condiments,mustard,11,monday,2022-07
1000000019,2021-01-31 07:52:00,charles brooks,coffee,7,96.77,debit card,chicago,department store,True,homemaker,winter,discount on selected items,13.82428571,6.737524738,49.60732683,721843,1,coffee,beverages,coffee,7,sunday,2021-01
1000000020,2021-10-31 07:46:00,angela jones,"pancakemix,vacuumcleaner",7,83.86,cash,houston,pharmacy,False,teenager,winter,discount on selected items,11.98,6.990999304,34.92300487,38208,2,pancake mix,grains & bakery,pancake mix,7,sunday,2021-10
1000000021,2022-12-30 20:03:00,john roberts,"coffee,shavingcream",1,39.93,credit card,miami,department store,False,retiree,summer,bogo (buy one get one),39.93,17.64299696,22.28700304,283350,2,coffee,beverages,coffee,20,friday,2022-12
1000000022,2021-06-08 10:28:00,nicole white,"shrimp,iron,cleaningspray,toiletpaper,peanutbutter",4,35.62,mobile payment,new york,warehouse club,True,retiree,spring,bogo (buy one get one),8.905,4.342464429,18.25014229,780217,5,shrimp,meat & seafood,shrimp,10,tuesday,2021-06
1000000023,2020-01-03 23:24:00,don harris,"dishware,pickles",7,19.56,cash,san francisco,department store,False,retiree,spring,bogo (buy one get one),2.794285714,1.424830185,9.586188704,728668,2,dishware,other,dishware,23,friday,2020-01
1000000024,2023-02-27 16:46:00,hannah rowland,"sponges,vacuumcleaner,iron",4,24.03,debit card,dallas,pharmacy,False,student,winter,,6.0075,3.224952129,11.13019148,942483,3,sponges,cleaning supplies,sponges,16,monday,2023-02
1000000025,2020-02-14 13:19:00,jessica gonzalez,"broom,cereal",10,7.82,credit card,new york,convenience store,False,professional,fall,bogo (buy one get one),0.782,0.497002281,2.849977195,996284,2,broom,cleaning equipment,broom,13,friday,2020-02
1000000026,2020-09-21 10:34:00,christina smith,"gardenhose,trashcans",6,49.45,debit card,dallas,warehouse club,False,senior citizen,winter,discount on selected items,8.241666667,3.790360093,26.70783944,594084,2,garden hose,garden tools,garden hose,10,monday,2020-09
1000000027,2020-03-26 22:08:00,latoya allen,"ketchup,trashcans,toothbrush",10,29.36,mobile payment,boston,specialty store,False,professional,spring,,2.936,1.627337693,13.08662307,840013,3,ketchup,condiments,ketchup,22,thursday,2020-03
1000000028,2022-08-13 01:26:00,clayton roth,"tomatoes,salmon",7,21.08,credit card,san francisco,specialty store,True,teenager,fall,,3.011428571,1.739775676,8.901570267,709720,2,tomatoes,vegetables,tomatoes,1,saturday,2022-08
1000000029,2020-02-27 10:23:00,dennis alvarez,"tea,salmon,bathtowels,toothpaste",7,75.38,mobile payment,houston,convenience store,True,teenager,summer,discount on selected items,10.76857143,4.457489948,44.17757037,280799,4,tea,beverages,tea,10,thursday,2020-02
1000000030,2023-01-08 22:59:00,jose hill,oliveoil,1,73.17,debit card,boston,specialty store,True,senior citizen,spring,,73.17,42.60421704,30.56578296,57455,1,olive oil,pantry & snacks,olive oil,22,sunday,2023-01
1000000031,2024-05-04 13:22:00,kristin webb,"extensioncords,razors,chips,shampoo",4,13.34,debit card,houston,department store,False,teenager,summer,,3.335,1.504609386,7.321562457,283817,4,extension cords,household electronics,extension cords,13,saturday,2024-05
1000000032,2023-04-04 10:57:00,robert gilbert dds,"apple,butter",7,41.4,debit card,chicago,supermarket,False,middle-aged,spring,,5.914285714,2.481134398,24.03205922,142576,2,apple,fruits,apple,10,tuesday,2023-04
1000000033,2022-03-26 19:18:00,thomas oliver,"broom,chicken,spinach,broom",8,26.67,credit card,chicago,specialty store,True,homemaker,spring,discount on selected items,3.33375,2.282504148,8.409966816,523619,4,broom,cleaning equipment,broom,19,saturday,2022-03
1000000034,2023-02-07 14:09:00,stacy owen,"yogurt,icecream,insectrepellent",5,34.27,credit card,san francisco,supermarket,True,teenager,summer,bogo (buy one get one),6.854,4.727132586,10.63433707,516159,3,yogurt,dairy,yogurt,14,tuesday,2023-02
1000000035,2022-10-12 11:57:00,ann kane,"onions,dishsoap",10,62.33,credit card,miami,warehouse club,False,young adult,spring,,6.233,4.004822201,22.28177799,664568,2,onions,vegetables,onions,11,wednesday,2022-10
1000000036,2020-10-16 09:05:00,mr. john long,"tomatoes,mustard,apple,hairgel",4,19.11,debit card,chicago,convenience store,True,middle-aged,winter,discount on selected items,4.7775,2.347587685,9.719649261,81237,4,tomatoes,vegetables,tomatoes,9,friday,2020-10
1000000037,2020-05-31 05:35:00,annette robinson,gardenhose,4,25.76,mobile payment,los angeles,warehouse club,True,homemaker,fall,bogo (buy one get one),6.44,2.764702524,14.7011899,523471,1,garden hose,garden tools,garden hose,5,sunday,2020-05
1000000038,2020-07-11 22:15:00,kimberly baldwin,"showergel,dishsoap,plantfertilizer,gardenhose,tuna",7,61.55,credit card,new york,convenience store,False,student,fall,,8.792857143,5.322051834,24.29563717,432697,5,shower gel,personal care,shower gel,22,saturday,2020-07
1000000039,2023-07-11 11:36:00,donald bradford,"potatoes,airfreshener,sponges,onions,laundrydetergent",5,39.08,cash,dallas,supermarket,False,young adult,spring,,7.816,4.158469567,18.28765216,344961,5,potatoes,vegetables,potatoes,11,tuesday,2023-07
1000000040,2022-05-31 17:09:00,mike gilbert,femininehygieneproducts,4,12.97,credit card,atlanta,department store,False,professional,winter,,3.2425,1.415712693,7.307149228,545338,1,feminine hygiene products,personal care,feminine hygiene products,17,tuesday,2022-05
1000000041,2023-07-01 20:11:00,rebecca morton,"shavingcream,butter",8,56.99,debit card,miami,specialty store,True,retiree,summer,discount on selected items,7.12375,3.907754954,25.72796037,259378,2,shaving cream,personal care,shaving cream,20,saturday,2023-07
1000000042,2023-11-13 12:48:00,nicole hernandez,"lawnmower,eggs,dustpan,peanutbutter,beef",9,99.77,cash,boston,specialty store,True,professional,spring,discount on selected items,11.08555556,4.548586981,58.83271717,705963,5,lawn mower,garden tools,lawn mower,12,monday,2023-11
1000000043,2020-10-12 12:39:00,paige white,"dustpan,bbqsauce,toothbrush,deodorant,dishsoap",8,29.82,cash,atlanta,specialty store,False,student,winter,discount on selected items,3.7275,2.50784754,9.757219683,707922,5,dustpan,cleaning equipment,dustpan,12,monday,2020-10
1000000044,2022-09-21 05:09:00,mr. lance perkins,"bread,dustpan,ketchup,ironingboard",7,89.97,cash,atlanta,department store,False,middle-aged,winter,,12.85285714,6.138961498,46.99726952,618869,4,bread,grains & bakery,bread,5,wednesday,2022-09
1000000045,2022-10-28 18:17:00,kelly foley,soap,2,83.55,credit card,chicago,convenience store,False,professional,spring,discount on selected items,41.775,25.01306053,33.52387894,917438,1,soap,personal care,soap,18,friday,2022-10
1000000046,2024-05-10 23:21:00,paula maldonado,razors,10,44.98,cash,dallas,convenience store,False,student,fall,,4.498,2.219822926,22.78177074,718804,1,razors,other,razors,23,friday,2024-05
1000000047,2023-02-06 01:31:00,roberto franklin,"pasta,oliveoil",7,76.09,mobile payment,los angeles,convenience store,True,retiree,summer,,10.87,6.043941817,33.78240728,374619,2,pasta,grains & bakery,pasta,1,monday,2023-02
1000000048,2024-04-17 00:49:00,steven clements,"beef,milk,salmon,shampoo",10,55.69,credit card,seattle,department store,True,teenager,summer,discount on selected items,5.569,3.140988864,24.28011136,140842,4,beef,meat & seafood,beef,0,wednesday,2024-04
1000000049,2021-06-24 14:01:00,katherine luna,tea,3,61.53,cash,houston,warehouse club,False,retiree,winter,discount on selected items,20.51,9.341409465,33.50577161,76038,1,tea,beverages,tea,14,thursday,2021-06
1000000050,2021-04-10 19:14:00,ryan hammond,"handsanitizer,plantfertilizer,babywipes,handsanitizer,powerstrips",1,78.46,mobile payment,san francisco,supermarket,False,teenager,summer,discount on selected items,78.46,54.20608297,24.25391703,971227,5,hand sanitizer,home & misc,hand sanitizer,19,saturday,2021-04
1000000051,2023-09-18 09:06:00,valerie johnson,bread,9,49.7,mobile payment,miami,pharmacy,True,retiree,fall,,5.522222222,3.4930256,18.2627696,916818,1,bread,grains & bakery,bread,9,monday,2023-09
1000000052,2020-05-10 17:02:00,jennifer mitchell,"vacuumcleaner,apple,shrimp,trashbags,carrots",10,87.04,mobile payment,boston,convenience store,False,senior citizen,summer,bogo (buy one get one),8.704,5.934819636,27.69180364,739752,5,vacuum cleaner,household electronics,vacuum cleaner,17,sunday,2020-05
1000000053,2020-12-30 14:17:00,nathan schwartz,"shrimp,cleaningrags,oliveoil,soda",2,9.55,cash,houston,warehouse club,False,senior citizen,fall,bogo (buy one get one),4.775,3.191840179,3.166319641,157957,4,shrimp,meat & seafood,shrimp,14,wednesday,2020-12
1000000054,2023-03-02 19:56:00,rebecca gilmore,"oliveoil,femininehygieneproducts,toothpaste,soap,bathtowels",8,46.79,debit card,los angeles,specialty store,False,retiree,winter,,5.84875,3.38859025,19.681278,663735,5,olive oil,pantry & snacks,olive oil,19,thursday,2023-03
1000000055,2022-06-23 18:30:00,todd parrish,peanutbutter,7,25.89,mobile payment,seattle,specialty store,True,student,fall,discount on selected items,3.698571429,2.502313883,8.373802817,990207,1,peanut butter,pantry & snacks,peanut butter,18,thursday,2022-06
1000000056,2022-05-09 08:42:00,christopher blake,orange,6,5.21,cash,dallas,warehouse club,False,young adult,winter,bogo (buy one get one),0.868333333,0.37038563,2.987686219,809474,1,orange,fruits,orange,8,monday,2022-05
1000000057,2021-11-23 07:49:00,marie young,"syrup,tuna,papertowels,toothpaste,mustard",3,12.72,cash,los angeles,pharmacy,True,homemaker,summer,bogo (buy one get one),4.24,1.945290201,6.884129397,997998,5,syrup,pantry & snacks,syrup,7,tuesday,2021-11
1000000058,2024-01-11 05:41:00,james mccarthy,"laundrydetergent,bbqsauce",5,15.14,mobile payment,miami,pharmacy,False,middle-aged,winter,discount on selected items,3.028,1.252284469,8.878577654,217541,2,laundry detergent,cleaning supplies,laundry detergent,5,thursday,2024-01
1000000059,2020-06-30 00:58:00,sharon espinoza,"dishsoap,showergel,lawnmower,dustpan,toothpaste",4,15.68,debit card,atlanta,specialty store,True,professional,winter,,3.92,1.950588469,7.877646124,17062,5,dish soap,cleaning supplies,dish soap,0,tuesday,2020-06
1000000060,2021-11-11 03:45:00,rachel rasmussen,"dustpan,bathtowels,pickles,sponges",2,92.78,credit card,seattle,supermarket,True,young adult,fall,,46.39,23.96522184,44.84955632,794644,4,dustpan,cleaning equipment,dustpan,3,thursday,2021-11
1000000061,2021-10-28 20:51:00,thomas lowery,"milk,tuna,ketchup,broom",10,35.95,credit card,boston,department store,True,senior citizen,winter,bogo (buy one get one),3.595,1.730649931,18.64350069,152674,4,milk,other,milk,20,thursday,2021-10
1000000062,2021-06-23 06:46:00,richard johnston,"beef,bread,dustpan",5,88.59,cash,chicago,specialty store,False,professional,winter,bogo (buy one get one),17.718,11.49227136,31.12864322,117624,3,beef,meat & seafood,beef,6,wednesday,2021-06
1000000063,2023-08-24 05:20:00,rebecca vasquez,"pancakemix,dustpan,laundrydetergent,gardenhose",6,66.87,mobile payment,houston,department store,True,professional,summer,bogo (buy one get one),11.145,5.650804748,32.96517151,212450,4,pancake mix,grains & bakery,pancake mix,5,thursday,2023-08
1000000064,2021-06-28 06:41:00,samuel mays,"cerealbars,airfreshener,honey,laundrydetergent",3,37.35,cash,san francisco,department store,True,young adult,winter,discount on selected items,12.45,6.029290394,19.26212882,721631,4,cereal bars,grains & bakery,cereal bars,6,monday,2021-06
1000000065,2023-08-14 13:19:00,karen williams,"banana,gardenhose,extensioncords,toothpaste,syrup",6,60.37,debit card,new york,department store,False,young adult,spring,bogo (buy one get one),10.06166667,5.662794794,26.39323124,675241,5,banana,fruits,banana,13,monday,2023-08
1000000066,2022-04-08 08:49:00,ian murphy,shrimp,8,51.42,credit card,miami,department store,True,homemaker,winter,,6.4275,2.842737137,28.67810291,278365,1,shrimp,meat & seafood,shrimp,8,friday,2022-04
1000000067,2020-04-04 01:57:00,elizabeth li,"broom,pickles,cleaningrags",1,54.04,mobile payment,miami,specialty store,True,retiree,spring,,54.04,34.62121745,19.41878255,898105,3,broom,cleaning equipment,broom,1,saturday,2020-04
1000000068,2021-10-30 21:16:00,brenda chase,"peanutbutter,lawnmower,syrup,chicken,toothpaste",3,67.43,cash,dallas,department store,True,teenager,fall,,22.47666667,9.493361657,38.94991503,547909,5,peanut butter,pantry & snacks,peanut butter,21,saturday,2021-10
1000000069,2022-08-19 07:26:00,anthony miranda,"peanutbutter,razors",8,48.83,cash,seattle,warehouse club,False,retiree,summer,bogo (buy one get one),6.10375,4.248613342,14.84109327,239175,2,peanut butter,pantry & snacks,peanut butter,7,friday,2022-08
1000000070,2020-09-21 09:18:00,patricia adams,"mop,laundrydetergent,vacuumcleaner",8,19.4,credit card,atlanta,pharmacy,False,senior citizen,fall,discount on selected items,2.425,1.53180807,7.145535443,838883,3,mop,cleaning equipment,mop,9,monday,2020-09
1000000071,2020-05-11 12:03:00,jacob douglas,"eggs,showergel,oliveoil",1,12.73,mobile payment,houston,pharmacy,False,retiree,spring,discount on selected items,12.73,5.850895188,6.879104812,613492,3,eggs,meat & seafood,eggs,12,monday,2020-05
1000000072,2022-10-27 03:15:00,martin gonzalez,vinegar,5,77.41,mobile payment,los angeles,specialty store,False,student,spring,,15.482,6.218448025,46.31775987,975750,1,vinegar,pantry & snacks,vinegar,3,thursday,2022-10
1000000073,2021-06-13 14:25:00,sherry nunez,"shavingcream,apple,pickles",4,78.52,credit card,miami,supermarket,True,homemaker,summer,,19.63,12.65425235,27.90299059,60431,3,shaving cream,personal care,shaving cream,14,sunday,2021-06
1000000074,2020-03-16 13:50:00,joshua livingston,"cannedsoup,tea",2,16.9,mobile payment,dallas,supermarket,True,middle-aged,spring,discount on selected items,8.45,5.171883367,6.556233267,344009,2,canned soup,pantry & snacks,canned soup,13,monday,2020-03
1000000075,2023-05-28 19:43:00,kimberly morton,"syrup,salmon",1,40.11,debit card,seattle,convenience store,False,teenager,summer,discount on selected items,40.11,24.81614325,15.29385675,425387,2,syrup,pantry & snacks,syrup,19,sunday,2023-05
1000000076,2024-04-11 22:31:00,robin graham,peanutbutter,6,57.04,cash,atlanta,warehouse club,False,homemaker,winter,bogo (buy one get one),9.506666667,6.002329695,21.02602183,170168,1,peanut butter,pantry & snacks,peanut butter,22,thursday,2024-04
1000000077,2024-03-18 02:50:00,donna randall,"hairgel,tomatoes,cheese,powerstrips,beef",6,68.29,mobile payment,los angeles,specialty store,False,young adult,fall,bogo (buy one get one),11.38166667,4.80549213,39.45704722,416066,5,hair gel,personal care,hair gel,2,monday,2024-03
1000000078,2021-01-06 11:48:00,alfred schneider,"lightbulbs,tissues",4,41.24,debit card,dallas,supermarket,False,homemaker,fall,,10.31,5.232734498,20.30906201,392128,2,light bulbs,household electronics,light bulbs,11,wednesday,2021-01
1000000079,2024-01-24 16:50:00,taylor wilson,"oliveoil,banana",4,72.11,cash,los angeles,department store,True,professional,winter,bogo (buy one get one),18.0275,7.837648841,40.75940464,654071,2,olive oil,pantry & snacks,olive oil,16,wednesday,2024-01
1000000080,2020-05-16 23:24:00,matthew henderson,"mop,jam,cheese,handsanitizer",1,65.96,mobile payment,miami,convenience store,True,teenager,summer,discount on selected items,65.96,43.46309059,22.49690941,821235,4,mop,cleaning equipment,mop,23,saturday,2020-05
1000000081,2022-05-10 23:55:00,christina hoover,"diapers,lightbulbs,soda,toothpaste",4,80.75,credit card,new york,warehouse club,True,homemaker,winter,discount on selected items,20.1875,11.84984928,33.35060288,712757,4,diapers,baby care,diapers,23,tuesday,2022-05
1000000082,2021-09-12 13:17:00,paul tate,"lightbulbs,hairgel,mustard,iron",9,68.09,debit card,new york,specialty store,True,retiree,winter,bogo (buy one get one),7.565555556,3.777250439,34.09474605,892804,4,light bulbs,household electronics,light bulbs,13,sunday,2021-09
1000000083,2020-09-10 19:56:00,melissa rose,"handsanitizer,dishsoap,deodorant,cereal",8,16.17,debit card,seattle,pharmacy,False,teenager,spring,discount on selected items,2.02125,0.847040195,9.393678443,256147,4,hand sanitizer,home & misc,hand sanitizer,19,thursday,2020-09
1000000084,2022-05-30 10:26:00,brittany simmons,"ketchup,toothpaste",5,89.56,mobile payment,chicago,supermarket,False,student,winter,discount on selected items,17.912,8.835894604,45.38052698,767048,2,ketchup,condiments,ketchup,10,monday,2022-05
1000000085,2020-10-28 23:16:00,henry kirk,"toothpaste,dishware,bread,eggs",5,54.94,credit card,dallas,supermarket,False,student,winter,,10.988,5.467134303,27.60432849,193643,4,toothpaste,personal care,toothpaste,23,wednesday,2020-10
1000000086,2020-09-22 03:20:00,james richardson,"iron,plantfertilizer,eggs,pickles",1,93.74,cash,seattle,specialty store,False,retiree,fall,,93.74,58.01398495,35.72601505,93748,4,iron,household electronics,iron,3,tuesday,2020-09
1000000087,2021-09-03 01:57:00,keith rodriguez,"airfreshener,chicken,shavingcream",10,67.87,cash,chicago,specialty store,True,retiree,spring,,6.787,4.012930767,27.74069233,16566,3,air freshener,home & misc,air freshener,1,friday,2021-09
1000000088,2020-04-23 04:16:00,marie owen,"plantfertilizer,tuna,orange",5,8.46,cash,seattle,department store,True,middle-aged,winter,discount on selected items,1.692,1.127149188,2.824254059,936216,3,plant fertilizer,garden tools,plant fertilizer,4,thursday,2020-04
1000000089,2021-03-23 19:58:00,james adams,mop,8,45.75,credit card,new york,pharmacy,True,senior citizen,summer,bogo (buy one get one),5.71875,3.097643731,20.96885015,445286,1,mop,cleaning equipment,mop,19,tuesday,2021-03
1000000090,2023-11-18 20:40:00,troy durham,babywipes,7,34.09,debit card,los angeles,convenience store,False,middle-aged,fall,,4.87,2.122727193,19.23090965,571570,1,baby wipes,baby care,baby wipes,20,saturday,2023-11
1000000091,2023-04-03 21:35:00,dr. adam chan,"beef,cleaningspray,sponges",1,41.48,credit card,miami,convenience store,False,professional,winter,discount on selected items,41.48,25.46761813,16.01238187,892664,3,beef,meat & seafood,beef,21,monday,2023-04
1000000092,2023-02-08 15:22:00,mark blankenship,"tissues,cheese,toiletpaper,cerealbars,cerealbars",4,37.38,mobile payment,miami,pharmacy,True,retiree,spring,bogo (buy one get one),9.345,5.870860884,13.89655646,775746,5,tissues,cleaning supplies,tissues,15,wednesday,2023-02
1000000093,2023-12-30 04:04:00,brooke bennett,"water,oliveoil",4,55.81,cash,boston,convenience store,False,young adult,summer,bogo (buy one get one),13.9525,7.93036603,24.08853588,450885,2,water,other,water,4,saturday,2023-12
1000000094,2021-04-10 16:00:00,dale castaneda,"banana,toothpaste,iron",1,90.7,credit card,chicago,pharmacy,False,middle-aged,summer,bogo (buy one get one),90.7,57.25801697,33.44198303,927205,3,banana,fruits,banana,16,saturday,2021-04
1000000095,2022-02-08 17:55:00,jim wells,"potatoes,cleaningspray",3,32.25,mobile payment,chicago,convenience store,False,teenager,summer,bogo (buy one get one),10.75,5.892490798,14.57252761,968846,2,potatoes,vegetables,potatoes,17,tuesday,2022-02
1000000096,2021-05-11 19:50:00,michael johnson,"cleaningrags,syrup,bbqsauce",8,94.76,cash,seattle,pharmacy,False,middle-aged,summer,discount on selected items,11.845,6.595531109,41.99575113,481733,3,cleaning rags,cleaning supplies,cleaning rags,19,tuesday,2021-05
1000000097,2022-07-29 17:21:00,lisa delgado,"dishsoap,apple",5,50.2,mobile payment,miami,warehouse club,True,professional,winter,,10.04,5.303753547,23.68123226,702890,2,dish soap,cleaning supplies,dish soap,17,friday,2022-07
1000000098,2022-10-05 18:14:00,matthew jackson,"salmon,dustpan,yogurt",8,29.4,mobile payment,miami,specialty store,False,professional,winter,,3.675,1.498024587,17.4158033,337629,3,salmon,meat & seafood,salmon,18,wednesday,2022-10
1000000099,2020-08-01 23:03:00,nicholas stephens,eggs,7,27.53,credit card,chicago,convenience store,False,middle-aged,fall,,3.932857143,1.700439328,15.6269247,377803,1,eggs,meat & seafood,eggs,23,saturday,2020-08
1000000100,2020-01-15 21:16:00,jean moore,deodorant,10,71.36,mobile payment,houston,warehouse club,False,teenager,spring,discount on selected items,7.136,2.921683601,42.14316399,76868,1,deodorant,personal care,deodorant,21,wednesday,2020-01
1000000101,2021-03-15 01:30:00,daniel johnson,cannedsoup,8,8.22,mobile payment,new york,convenience store,False,student,fall,,1.0275,0.607173509,3.362611926,827103,1,canned soup,pantry & snacks,canned soup,1,monday,2021-03
1000000102,2022-10-22 16:34:00,maria murray md,"soda,laundrydetergent,vinegar,toothbrush",1,92.73,credit card,los angeles,department store,False,senior citizen,winter,,92.73,45.83706904,46.89293096,174228,4,soda,pantry & snacks,soda,16,saturday,2022-10
1000000103,2020-02-10 01:48:00,scott hunter,"bathtowels,cannedsoup",10,93.1,cash,san francisco,convenience store,False,professional,summer,discount on selected items,9.31,5.14443794,41.6556206,721069,2,bath towels,home & misc,bath towels,1,monday,2020-02
1000000104,2022-12-27 06:34:00,sean moore,"airfreshener,tuna,onions,babywipes",2,12.24,cash,new york,department store,True,retiree,fall,,6.12,4.114292046,4.011415908,117333,4,air freshener,home & misc,air freshener,6,tuesday,2022-12
1000000105,2021-04-21 03:43:00,alexander harmon,"trashbags,femininehygieneproducts,lawnmower,icecream",10,20.13,cash,seattle,supermarket,True,young adult,summer,discount on selected items,2.013,0.955747577,10.57252423,286464,4,trash bags,cleaning supplies,trash bags,3,wednesday,2021-04
1000000106,2022-05-14 12:06:00,david rodriguez,"tuna,coffee,trashcans",8,48.09,mobile payment,dallas,pharmacy,True,retiree,spring,bogo (buy one get one),6.01125,3.144574304,22.93340557,286621,3,tuna,meat & seafood,tuna,12,saturday,2022-05
1000000107,2023-01-30 16:47:00,linda davis,"sponges,cleaningrags,razors,tuna",2,37.71,cash,seattle,pharmacy,False,retiree,winter,discount on selected items,18.855,11.81577502,14.07844997,364102,4,sponges,cleaning supplies,sponges,16,monday,2023-01
1000000108,2023-10-11 18:27:00,linda hayden,"razors,lightbulbs,trashcans,honey",9,30.3,credit card,seattle,supermarket,False,teenager,spring,bogo (buy one get one),3.366666667,1.577752814,16.10022468,803820,4,razors,other,razors,18,wednesday,2023-10
1000000109,2022-09-24 01:38:00,connie baker,"mustard,soap,bread,pasta,shavingcream",7,57.89,mobile payment,seattle,department store,True,middle-aged,winter,discount on selected items,8.27,3.498987156,33.39708991,503192,5,mustard,condiments,mustard,1,saturday,2022-09
1000000110,2021-04-23 13:09:00,mr. kenneth watson,"chips,cannedsoup,cleaningspray,oliveoil",8,15.34,cash,miami,department store,True,teenager,winter,bogo (buy one get one),1.9175,0.933679523,7.870563814,938162,4,chips,pantry & snacks,chips,13,friday,2021-04
1000000111,2022-09-21 12:12:00,maurice brown,"airfreshener,laundrydetergent,cleaningspray,shavingcream,ketchup",10,90.93,cash,miami,specialty store,True,teenager,fall,,9.093,4.07699555,50.1600445,439273,5,air freshener,home & misc,air freshener,12,wednesday,2022-09
